key,english,tamil,translate,note,screen,occurrences,first_seen
inventoryView.editGroupCode,Edit group code,,YES,,Inventory View,1,components/InventoryView.tsx:1367
inventoryView.deleteGroupCode,Delete group code,,YES,,Inventory View,1,components/InventoryView.tsx:1381
inventoryView.addGroup,Add Group...,,YES,,Inventory View,1,components/InventoryView.tsx:1397
inventoryView.addGroupCode,Add group code,,YES,,Inventory View,1,components/InventoryView.tsx:1414
inventoryView.editUnit,Edit unit,,YES,,Inventory View,1,components/InventoryView.tsx:1468
inventoryView.deleteUnit,Delete unit,,YES,,Inventory View,1,components/InventoryView.tsx:1482
inventoryView.addUnit,Add Unit...,,YES,,Inventory View,1,components/InventoryView.tsx:1498
inventoryView.addUnit2,Add unit,,YES,,Inventory View,1,components/InventoryView.tsx:1515
inventoryView.noMaterialsSavedYet,No materials saved yet,,YES,,Inventory View,1,components/InventoryView.tsx:1563
inventoryView.enterCustomCode,Enter custom code,,YES,,Inventory View,1,components/InventoryView.tsx:1697
inventoryView.itemName2,Item name,,YES,,Inventory View,1,components/InventoryView.tsx:1745
inventoryView.enterCustomGroup,Enter custom group,,YES,,Inventory View,1,components/InventoryView.tsx:1781
inventoryView.enterCustomUnit,Enter custom unit,,YES,,Inventory View,1,components/InventoryView.tsx:1868
laborTrackingView.globalRateEntry,Global Rate Entry,,YES,,Labor Tracking View,1,components/LaborTrackingView.tsx:394
laborTrackingView.addRate,Add Rate,,YES,,Labor Tracking View,1,components/LaborTrackingView.tsx:445
laborTrackingView.noActiveRateCards,No active rate cards for this entity,,YES,,Labor Tracking View,1,components/LaborTrackingView.tsx:461
laborTrackingView.initializeRateSheet,Initialize Rate Sheet,,YES,,Labor Tracking View,1,components/LaborTrackingView.tsx:475
laborTrackingView.dailyYield,Daily Yield,,YES,,Labor Tracking View,1,components/LaborTrackingView.tsx:534
laborTrackingView.runningAccountFiscalReconciliation,Running account fiscal reconciliation.,,YES,,Labor Tracking View,1,components/LaborTrackingView.tsx:641
laborTrackingView.amountPaid,Amount Paid,,YES,,Labor Tracking View,1,components/LaborTrackingView.tsx:690
laborTrackingView.allFiscalCertifications,All fiscal certifications.,,YES,,Labor Tracking View,1,components/LaborTrackingView.tsx:744
laborTrackingView.gross,Gross,,YES,,Labor Tracking View,1,components/LaborTrackingView.tsx:790
laborTrackingView.totalGross,Total Gross,,YES,,Labor Tracking View,1,components/LaborTrackingView.tsx:830
laborTrackingView.totalNet,Total Net,,YES,,Labor Tracking View,1,components/LaborTrackingView.tsx:843
laborTrackingView.refNo,Ref No.,,YES,,Labor Tracking View,1,components/LaborTrackingView.tsx:865
laborTrackingView.rateCard,Rate Card,,YES,,Labor Tracking View,1,components/LaborTrackingView.tsx:1089
laborTrackingView.roleType,Role Type,,YES,,Labor Tracking View,1,components/LaborTrackingView.tsx:1133
laborTrackingView.rateUnit,Rate (₹) / Unit,,YES,,Labor Tracking View,1,components/LaborTrackingView.tsx:1147
laborTrackingView.saveIndexEntry,Save Index Entry,,YES,,Labor Tracking View,1,components/LaborTrackingView.tsx:1167
laborTrackingView.deleteRateCard,Delete Rate Card?,,YES,,Labor Tracking View,1,components/LaborTrackingView.tsx:1186
laborTrackingView.editLabourRate,Edit labour rate,,YES,,Labor Tracking View,1,components/LaborTrackingView.tsx:501
laborTrackingView.deleteLabourRate,Delete labour rate,,YES,,Labor Tracking View,1,components/LaborTrackingView.tsx:519
materialConsumptionView.laborConsumption,Labor Consumption,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:557
materialConsumptionView.roleTrade,Role / Trade,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:577
materialConsumptionView.allRoles,All Roles,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:579
materialConsumptionView.allVendors,All Vendors,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:586
materialConsumptionView.from,From,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:591
materialConsumptionView.resetLaborFilters,Reset Labor Filters,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:602
materialConsumptionView.totalManpower,Total Manpower,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:610
materialConsumptionView.totalLaborCost,Total Labor Cost,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:617
materialConsumptionView.deploymentEntries,Deployment Entries,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:624
materialConsumptionView.laborConsumptionPerTask,Labor Consumption per Task,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:635
materialConsumptionView.entries,Entries,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:642
materialConsumptionView.totalConsumed,Total Consumed,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:730
materialConsumptionView.loggingEvents,Logging Events,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:747
materialConsumptionView.avgConsumptionPerLog,Avg. Consumption per Log,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:758
materialConsumptionView.multiParameterSearchFilters,Multi-Parameter Search Filters,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:778
materialConsumptionView.materialGroupCode,Material Group Code,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:784
materialConsumptionView.allGroupCodes,All Group Codes,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:791
materialConsumptionView.allMaterials,All Materials,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:807
materialConsumptionView.taskCategory,Task Category,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:818
materialConsumptionView.sourceChannel,Source Channel,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:834
materialConsumptionView.allSources,All Sources,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:841
materialConsumptionView.materialIssueDocuments,Material Issue Documents,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:842
materialConsumptionView.dailyProgressLogs,Daily Progress Logs,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:843
materialConsumptionView.fromDate,From Date,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:849
materialConsumptionView.toDate,To Date,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:861
materialConsumptionView.minQuantity,Min Quantity,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:873
materialConsumptionView.maxQuantity,Max Quantity,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:886
materialConsumptionView.resetSearch,Reset Search,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:904
materialConsumptionView.found,Found,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:913
materialConsumptionView.sort,Sort:,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:920
materialConsumptionView.consumedInTask,Consumed In Task,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:962
materialConsumptionView.channel,Channel,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:963
materialConsumptionView.noConsumptionLoggedYet,No consumption logged yet,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:524
materialConsumptionView.noLabourMatches,No labour matches,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:695
materialConsumptionView.noRecordsMatch,No records match,,YES,,Material Consumption View,1,components/MaterialConsumptionView.tsx:973
procurementView.posted,Posted,,YES,,Procurement View,1,components/ProcurementView.tsx:923
procurementView.inputGstItc,Input GST (ITC),,YES,"Translate, but keep GST as-is",Procurement View,1,components/ProcurementView.tsx:938
procurementView.claimableCreditAcrossPosted,Claimable credit across posted bills,,YES,,Procurement View,1,components/ProcurementView.tsx:940
procurementView.billedInclGst,Billed (incl-GST),,YES,"Translate, but keep GST as-is",Procurement View,1,components/ProcurementView.tsx:943
procurementView.scannedAwaitingConfirm,"Scanned, awaiting confirm",,YES,,Procurement View,1,components/ProcurementView.tsx:950
procurementView.invoice,Invoice,,YES,,Procurement View,1,components/ProcurementView.tsx:959
procurementView.grandTotal,Grand total,,YES,,Procurement View,1,components/ProcurementView.tsx:962
procurementView.match,Match,,YES,,Procurement View,1,components/ProcurementView.tsx:963
procurementView.reviewAmpPost,Review &amp; Post,,YES,,Procurement View,1,components/ProcurementView.tsx:992
procurementView.vendorEcosystemAndTracking,Vendor ecosystem and tracking.,,YES,,Procurement View,1,components/ProcurementView.tsx:1025
procurementView.addParty,Add Party,,YES,,Procurement View,1,components/ProcurementView.tsx:1040
procurementView.totalPaymentsMade,Total Payments Made,,YES,,Procurement View,1,components/ProcurementView.tsx:1068
procurementView.totalOutstandingBalance,Total Outstanding Balance,,YES,,Procurement View,1,components/ProcurementView.tsx:1087
procurementView.paymentsMade,Payments Made,,YES,,Procurement View,1,components/ProcurementView.tsx:1187
procurementView.payment,Payment,,YES,,Procurement View,1,components/ProcurementView.tsx:1243
procurementView.ledger,Ledger,,YES,,Procurement View,1,components/ProcurementView.tsx:1253
procurementView.inwardOrchestrationRecord,Inward orchestration record.,,YES,,Procurement View,1,components/ProcurementView.tsx:1272
procurementView.addReceipt,Add Receipt,,YES,,Procurement View,1,components/ProcurementView.tsx:1294
procurementView.reference,Reference,,YES,,Procurement View,1,components/ProcurementView.tsx:1311
procurementView.dateRef,Date & Ref,,YES,,Procurement View,1,components/ProcurementView.tsx:1459
procurementView.entityPartner,Entity Partner,,YES,,Procurement View,1,components/ProcurementView.tsx:1589
procurementView.designation,Designation,,YES,,Procurement View,1,components/ProcurementView.tsx:1592
procurementView.scanInvoice,Scan Invoice,,YES,,Procurement View,1,components/ProcurementView.tsx:2006
procurementView.vendorMasterProfile,Vendor Master Profile,,YES,,Procurement View,1,components/ProcurementView.tsx:2139
procurementView.entityName,Entity Name,,YES,,Procurement View,1,components/ProcurementView.tsx:2170
procurementView.vendorCategory,Vendor Category,,YES,,Procurement View,1,components/ProcurementView.tsx:2184
procurementView.both,Both,,YES,,Procurement View,1,components/ProcurementView.tsx:2199
procurementView.contactPerson,Contact Person,,YES,,Procurement View,1,components/ProcurementView.tsx:2203
procurementView.emailId,Email ID,,YES,,Procurement View,1,components/ProcurementView.tsx:2219
procurementView.phoneNumber,Phone Number,,YES,,Procurement View,1,components/ProcurementView.tsx:2233
procurementView.businessAddress,Business Address,,YES,,Procurement View,1,components/ProcurementView.tsx:2246
procurementView.openingBalance,Opening Balance (₹),,YES,,Procurement View,1,components/ProcurementView.tsx:2260
procurementView.deleteParty,Delete Party?,,YES,,Procurement View,1,components/ProcurementView.tsx:2303
procurementView.deleteReceipt,Delete Receipt?,,YES,,Procurement View,1,components/ProcurementView.tsx:2342
procurementView.invoiceOptional,Invoice (Optional),,YES,,Procurement View,1,components/ProcurementView.tsx:2455
procurementView.noInvoiceAdvanceGeneral,No Invoice (Advance/General),,YES,,Procurement View,1,components/ProcurementView.tsx:2471
procurementView.discrepancyOverrideReason,Discrepancy Override Reason,,YES,,Procurement View,1,components/ProcurementView.tsx:2494
procurementView.noVendorBillsYet,No vendor bills yet,,YES,,Procurement View,1,components/ProcurementView.tsx:973
procurementView.editVendor,Edit vendor,,YES,,Procurement View,1,components/ProcurementView.tsx:1123
procurementView.deleteVendor,Delete vendor,,YES,,Procurement View,1,components/ProcurementView.tsx:1166
procurementView.editReceipt,Edit receipt,,YES,,Procurement View,1,components/ProcurementView.tsx:1395
procurementView.deleteReceipt2,Delete receipt,,YES,,Procurement View,1,components/ProcurementView.tsx:1408
procurementView.noPartiesSavedYet,No parties saved yet,,YES,,Procurement View,1,components/ProcurementView.tsx:2086
procurementView.eGUnitedSteel,E.g. United Steel Corp,,YES,,Procurement View,1,components/ProcurementView.tsx:2175
procurementView.fullAddress,Full address,,YES,,Procurement View,1,components/ProcurementView.tsx:2251
procurementView.whyAreWePaying,Why are we paying this despite the discrepancy?,,YES,,Procurement View,1,components/ProcurementView.tsx:2499
procurementView.shortNote,Short Note,,YES,,Procurement View,1,components/ProcurementView.tsx:2520
progressReportsView.remarksNotes,Remarks / Notes,,YES,,Progress Reports View,1,components/ProgressReportsView.tsx:644
progressReportsView.noRemarksProvided,No remarks provided.,,YES,,Progress Reports View,1,components/ProgressReportsView.tsx:661
progressReportsView.photosAttached,Photos attached,,YES,,Progress Reports View,1,components/ProgressReportsView.tsx:672
progressReportsView.dailyLogsHistory,Daily Logs History,,YES,,Progress Reports View,1,components/ProgressReportsView.tsx:709
progressReportsView.mat,Mat:,,YES,,Progress Reports View,1,components/ProgressReportsView.tsx:732
progressReportsView.lab,Lab:,,YES,,Progress Reports View,1,components/ProgressReportsView.tsx:735
progressReportsView.editLog,Edit Log,,YES,,Progress Reports View,1,components/ProgressReportsView.tsx:745
progressReportsView.generatedViaSitetru,Generated via Sitetru,,YES,,Progress Reports View,1,components/ProgressReportsView.tsx:767
progressReportsView.siteShot,Site shot,,YES,,Progress Reports View,1,components/ProgressReportsView.tsx:684
progressReportsView.noDailyLogsFound,No daily logs found,,YES,,Progress Reports View,1,components/ProgressReportsView.tsx:716
projectInsights.built,Built,,YES,,Project Insights,1,components/ProjectInsights.tsx:53
projectInsights.budgetUsed,Budget used,,YES,,Project Insights,1,components/ProjectInsights.tsx:60
settingsView.executiveMode,Executive Mode,,YES,,Settings View,1,components/SettingsView.tsx:384
settingsView.spaciousLayoutForAnalytics,Spacious layout for analytics and oversight.,,YES,,Settings View,1,components/SettingsView.tsx:387
settingsView.siteMode,Site Mode,,YES,,Settings View,1,components/SettingsView.tsx:400
settingsView.compactHighDensityUi,"Compact, high-density UI for field operations.",,YES,,Settings View,1,components/SettingsView.tsx:403
settingsView.lightMode,Light Mode,,YES,,Settings View,1,components/SettingsView.tsx:422
settingsView.darkMode,Dark Mode,,YES,,Settings View,1,components/SettingsView.tsx:435
syncStatus.offline,Offline,,YES,,Sync Status,1,components/SyncStatus.tsx:39
syncStatus.syncing,Syncing,,YES,,Sync Status,1,components/SyncStatus.tsx:54
syncStatus.online,Online,,YES,,Sync Status,1,components/SyncStatus.tsx:71
telegramBotStatus.botChecking,Bot Checking...,,YES,,Telegram Bot Status,1,components/TelegramBotStatus.tsx:52
telegramBotStatus.botOffline,Bot Offline,,YES,,Telegram Bot Status,1,components/TelegramBotStatus.tsx:69
telegramBotStatus.botOnline,Bot Online,,YES,,Telegram Bot Status,1,components/TelegramBotStatus.tsx:86
telegramIntegration.connectTelegram,Connect Telegram,,YES,,Telegram Integration,1,components/TelegramIntegration.tsx:271
telegramIntegration.scanToConnectTelegram,Scan to connect Telegram,,YES,,Telegram Integration,1,components/TelegramIntegration.tsx:279
virtualTable.noRecordsFound,No records found,,YES,,Virtual Table,1,components/VirtualTable.tsx:158
wBSView.budg,Budg,,YES,,WBSView,1,components/WBSView.tsx:930
wBSView.clearSelection,Clear Selection,,YES,,WBSView,1,components/WBSView.tsx:1096
wBSView.setStatus,Set Status...,,YES,,WBSView,1,components/WBSView.tsx:1111
wBSView.fullInventory,Full Inventory,,YES,,WBSView,1,components/WBSView.tsx:1152
wBSView.autoShift,Auto-Shift,,YES,,WBSView,1,components/WBSView.tsx:1171
wBSView.spareDays,Spare days,,YES,,WBSView,1,components/WBSView.tsx:1241
wBSView.phase,Phase,,YES,,WBSView,1,components/WBSView.tsx:1292
wBSView.dropHereToUn,Drop here to Un-nest task,,YES,,WBSView,1,components/WBSView.tsx:1407
wBSView.movesThisTaskTo,Moves this task to the top level,,YES,,WBSView,1,components/WBSView.tsx:1410
wBSView.deleteEntirePhase,Delete Entire Phase?,,YES,,WBSView,1,components/WBSView.tsx:1435
wBSView.deletePhase,Delete Phase,,YES,,WBSView,1,components/WBSView.tsx:1454
wBSView.confirmTaskDeletion,Confirm Task Deletion,,YES,,WBSView,1,components/WBSView.tsx:1476
wBSView.identityClassification,Identity & Classification,,YES,,WBSView,1,components/WBSView.tsx:1584
wBSView.changeOrderItem,Change Order Item,,YES,,WBSView,1,components/WBSView.tsx:1686
wBSView.selectPhase,Select Phase,,YES,,WBSView,1,components/WBSView.tsx:1778
wBSView.parentTask,Parent Task,,YES,,WBSView,1,components/WBSView.tsx:1889
wBSView.activityCodes,Activity Codes,,YES,,WBSView,1,components/WBSView.tsx:1966
wBSView.timelineDependencies,Timeline & Dependencies,,YES,,WBSView,1,components/WBSView.tsx:2124
wBSView.planStart,Plan Start,,YES,,WBSView,1,components/WBSView.tsx:2135
wBSView.planFinish,Plan Finish,,YES,,WBSView,1,components/WBSView.tsx:2162
wBSView.actualStart,Actual Start,,YES,,WBSView,1,components/WBSView.tsx:2193
wBSView.actualFinish,Actual Finish,,YES,,WBSView,1,components/WBSView.tsx:2219
wBSView.progressStatus,Progress & Status,,YES,,WBSView,1,components/WBSView.tsx:2246
wBSView.precedenceLinks,Precedence Links,,YES,,WBSView,1,components/WBSView.tsx:2319
wBSView.allocationStrategy,Allocation Strategy,,YES,,WBSView,1,components/WBSView.tsx:2560
wBSView.laborAssignments,Labor Assignments,,YES,,WBSView,1,components/WBSView.tsx:2570
wBSView.vaultAttachments,Vault Attachments,,YES,,WBSView,1,components/WBSView.tsx:2913
wBSView.noVaultDocuments,No vault documents,,YES,,WBSView,1,components/WBSView.tsx:2948
wBSView.financialSummary,Financial Summary,,YES,,WBSView,1,components/WBSView.tsx:2984
wBSView.plannedResourceValue,Planned Resource Value,,YES,,WBSView,1,components/WBSView.tsx:3033
wBSView.otherExpenditureLumpsum,Other Expenditure / Lumpsum,,YES,,WBSView,1,components/WBSView.tsx:3122
wBSView.addSubtask,Add subtask,,YES,,WBSView,1,components/WBSView.tsx:984
wBSView.selectAll,Select All,,YES,,WBSView,1,components/WBSView.tsx:1235
wBSView.activityIdentification,Activity Identification,,YES,,WBSView,1,components/WBSView.tsx:1641
wBSView.enterCustomPhase,Enter custom phase...,,YES,,WBSView,1,components/WBSView.tsx:1703
wBSView.enterCustomLocation,Enter custom location...,,YES,,WBSView,1,components/WBSView.tsx:1799
wBSView.removeActivityCode,Remove activity code,,YES,,WBSView,1,components/WBSView.tsx:1981
wBSView.removeDependency,Remove dependency,,YES,,WBSView,1,components/WBSView.tsx:2445
wBSView.removeResource,Remove resource,,YES,,WBSView,1,components/WBSView.tsx:2676
wBSView.removeMaterialAllocation,Remove material allocation,,YES,,WBSView,1,components/WBSView.tsx:2801
wBSView.additionalBudget,Additional Budget...,,YES,,WBSView,1,components/WBSView.tsx:3129
goodsReceiptDetails.challanDc,Challan / DC,,YES,,Goods Receipt Details,1,components/purchase/GoodsReceiptDetails.tsx:184
goodsReceiptDetails.attachments,Attachments,,YES,,Goods Receipt Details,1,components/purchase/GoodsReceiptDetails.tsx:229
goodsReceiptForm.recordGoodsReceipt,Record Goods Receipt,,YES,,Goods Receipt Form,1,components/purchase/GoodsReceiptForm.tsx:355
goodsReceiptForm.receiptDate,Receipt Date *,,YES,,Goods Receipt Form,1,components/purchase/GoodsReceiptForm.tsx:372
goodsReceiptForm.challanDcNumber,Challan / DC Number,,YES,,Goods Receipt Form,1,components/purchase/GoodsReceiptForm.tsx:382
goodsReceiptForm.deliveryChallanPhotos,Delivery Challan Photos,,YES,,Goods Receipt Form,1,components/purchase/GoodsReceiptForm.tsx:496
goodsReceiptForm.addPhoto,Add Photo,,YES,,Goods Receipt Form,1,components/purchase/GoodsReceiptForm.tsx:520
goodsReceiptForm.anyCommentsAboutThe,Any comments about the delivery condition...,,YES,,Goods Receipt Form,1,components/purchase/GoodsReceiptForm.tsx:491
goodsReceiptForm.challanPhoto,Challan photo,,YES,,Goods Receipt Form,1,components/purchase/GoodsReceiptForm.tsx:503
goodsReceiptTab.loadingGoodsReceiptNotes,Loading goods receipt notes...,,YES,,Goods Receipt Tab,1,components/purchase/GoodsReceiptTab.tsx:23
goodsReceiptTab.grnNumber,GRN Number,,YES,"Translate, but keep GRN as-is",Goods Receipt Tab,1,components/purchase/GoodsReceiptTab.tsx:52
goodsReceiptTab.searchGrns,Search GRNs...,,YES,,Goods Receipt Tab,1,components/purchase/GoodsReceiptTab.tsx:39
goodsReceiptTab.noGoodsReceiptsYet,No goods receipts yet,,YES,,Goods Receipt Tab,1,components/purchase/GoodsReceiptTab.tsx:64
goodsReceiptTab.noGrnsMatch,No GRNs match,,YES,,Goods Receipt Tab,1,components/purchase/GoodsReceiptTab.tsx:72
materialReceiptForm.purchaseOrderOptional,Purchase Order (Optional),,YES,,Material Receipt Form,1,components/purchase/MaterialReceiptForm.tsx:326
materialReceiptForm.noneUnlinked,None / Unlinked,,YES,,Material Receipt Form,1,components/purchase/MaterialReceiptForm.tsx:336
materialReceiptForm.goodsReceiptsGrn,Goods Receipts (GRN),,YES,"Translate, but keep GRN as-is",Material Receipt Form,1,components/purchase/MaterialReceiptForm.tsx:344
materialReceiptForm.noGrnsAvailable,No GRNs available,,YES,,Material Receipt Form,1,components/purchase/MaterialReceiptForm.tsx:353
materialReceiptForm.ctrlCmdClickTo,Ctrl/Cmd+click to select multiple,,YES,,Material Receipt Form,1,components/purchase/MaterialReceiptForm.tsx:358
materialReceiptForm.invoiceRefNo,Invoice / Ref No.,,YES,,Material Receipt Form,1,components/purchase/MaterialReceiptForm.tsx:365
materialReceiptForm.invoiceItems,Invoice Items,,YES,,Material Receipt Form,1,components/purchase/MaterialReceiptForm.tsx:388
materialReceiptForm.poRate,PO Rate,,YES,"Translate, but keep PO as-is",Material Receipt Form,1,components/purchase/MaterialReceiptForm.tsx:405
materialReceiptForm.ordQty,Ord Qty,,YES,,Material Receipt Form,1,components/purchase/MaterialReceiptForm.tsx:406
materialReceiptForm.recQtyGrn,Rec Qty (GRN),,YES,"Translate, but keep GRN as-is",Material Receipt Form,1,components/purchase/MaterialReceiptForm.tsx:407
materialReceiptForm.invQty,Inv Qty,,YES,,Material Receipt Form,1,components/purchase/MaterialReceiptForm.tsx:408
materialReceiptForm.invRate,Inv Rate,,YES,,Material Receipt Form,1,components/purchase/MaterialReceiptForm.tsx:409
materialReceiptForm.select,Select,,YES,,Material Receipt Form,1,components/purchase/MaterialReceiptForm.tsx:424
materialReceiptForm.rateMismatch,Rate mismatch,,YES,,Material Receipt Form,1,components/purchase/MaterialReceiptForm.tsx:451
materialReceiptForm.qtyMismatch,Qty mismatch,,YES,,Material Receipt Form,1,components/purchase/MaterialReceiptForm.tsx:454
materialReceiptForm.unmatched,Unmatched,,YES,,Material Receipt Form,1,components/purchase/MaterialReceiptForm.tsx:456
materialReceiptForm.selectMaterial,Select Material,,YES,,Material Receipt Form,1,components/purchase/MaterialReceiptForm.tsx:493
materialReceiptForm.unitRate,Unit Rate (₹),,YES,,Material Receipt Form,1,components/purchase/MaterialReceiptForm.tsx:512
materialReceiptForm.totalInvoiceValue,Total Invoice Value,,YES,,Material Receipt Form,1,components/purchase/MaterialReceiptForm.tsx:557
materialReceiptForm.saveInvoice,Save Invoice,,YES,,Material Receipt Form,1,components/purchase/MaterialReceiptForm.tsx:567
materialReceiptForm.noItemsAdded,No items added,,YES,,Material Receipt Form,1,components/purchase/MaterialReceiptForm.tsx:545
materialReceiptForm.termsComments,"Terms, comments...",,YES,,Material Receipt Form,1,components/purchase/MaterialReceiptForm.tsx:554
purchaseOrderForm.draftOrder,Draft Order,,YES,,Purchase Order Form,1,components/purchase/PurchaseOrderForm.tsx:243
purchaseOrderForm.orderDate,Order Date,,YES,,Purchase Order Form,1,components/purchase/PurchaseOrderForm.tsx:272
purchaseOrderForm.selectItem,Select Item,,YES,,Purchase Order Form,1,components/purchase/PurchaseOrderForm.tsx:318
purchaseOrderForm.expectedDeliveryOptional,Expected Delivery (Optional),,YES,,Purchase Order Form,1,components/purchase/PurchaseOrderForm.tsx:381
purchaseOrderForm.loadingTransportOther,Loading + Transport + Other,,YES,,Purchase Order Form,1,components/purchase/PurchaseOrderForm.tsx:429
purchaseOrderTab.loadingPurchaseOrders,Loading purchase orders...,,YES,,Purchase Order Tab,1,components/purchase/PurchaseOrderTab.tsx:32
purchaseOrderTab.allStatuses,All Statuses,,YES,,Purchase Order Tab,1,components/purchase/PurchaseOrderTab.tsx:61
purchaseOrderTab.draft,Draft,,YES,,Purchase Order Tab,1,components/purchase/PurchaseOrderTab.tsx:62
purchaseOrderTab.approved,Approved,,YES,,Purchase Order Tab,1,components/purchase/PurchaseOrderTab.tsx:63
purchaseOrderTab.partiallyReceived,Partially Received,,YES,,Purchase Order Tab,1,components/purchase/PurchaseOrderTab.tsx:64
purchaseOrderTab.closed,Closed,,YES,,Purchase Order Tab,1,components/purchase/PurchaseOrderTab.tsx:65
purchaseOrderTab.newPo,New PO,,YES,"Translate, but keep PO as-is",Purchase Order Tab,1,components/purchase/PurchaseOrderTab.tsx:73
purchaseOrderTab.amount,Amount,,YES,,Purchase Order Tab,1,components/purchase/PurchaseOrderTab.tsx:85
purchaseOrderTab.searchPos,Search POs...,,YES,,Purchase Order Tab,1,components/purchase/PurchaseOrderTab.tsx:50
purchaseOrderTab.noPurchaseOrdersYet,No purchase orders yet,,YES,,Purchase Order Tab,1,components/purchase/PurchaseOrderTab.tsx:94
purchaseOrderTab.noOrdersMatch,No orders match,,YES,,Purchase Order Tab,1,components/purchase/PurchaseOrderTab.tsx:102
scanInvoice.uploadTheGstInvoice,Upload the GST invoice,,YES,"Translate, but keep GST as-is",Scan Invoice,1,components/purchase/ScanInvoice.tsx:160
scanInvoice.photoOrPdfReads,Photo or PDF · reads it and matches your PO,,YES,"Translate, but keep PO as-is",Scan Invoice,1,components/purchase/ScanInvoice.tsx:161
scanInvoice.readingTheInvoice,Reading the invoice…,,YES,,Scan Invoice,1,components/purchase/ScanInvoice.tsx:173
scanInvoice.pleaseCheck,Please check:,,YES,,Scan Invoice,1,components/purchase/ScanInvoice.tsx:182
scanInvoice.matchToPo,Match to PO,,YES,"Translate, but keep PO as-is",Scan Invoice,1,components/purchase/ScanInvoice.tsx:194
scanInvoice.rateExGst,Rate (ex-GST),,YES,"Translate, but keep GST as-is",Scan Invoice,1,components/purchase/ScanInvoice.tsx:214
scanInvoice.lineTotal,Line total,,YES,,Scan Invoice,1,components/purchase/ScanInvoice.tsx:216
scanInvoice.grandTotalPayable,Grand total (payable),,YES,,Scan Invoice,1,components/purchase/ScanInvoice.tsx:266
scanInvoice.invoicePosted,Invoice posted,,YES,,Scan Invoice,1,components/purchase/ScanInvoice.tsx:279
scanInvoice.grnVendorBillRecorded,GRN + vendor bill recorded and matched to the PO.,,YES,"Translate, but keep GRN, PO as-is",Scan Invoice,1,components/purchase/ScanInvoice.tsx:280
scanInvoice.posting,Posting…,,YES,,Scan Invoice,1,components/purchase/ScanInvoice.tsx:295
miniGantt.group,Group,,YES,,Mini Gantt,1,components/schedule/MiniGantt.tsx:186
miniGantt.previousWeek,Previous week,,YES,,Mini Gantt,1,components/schedule/MiniGantt.tsx:171
miniGantt.nextWeek,Next week,,YES,,Mini Gantt,1,components/schedule/MiniGantt.tsx:179
projectDailyLogsTab.dailyProgress,Daily Progress,,YES,,Project Daily Logs Tab,1,components/schedule/ProjectDailyLogsTab.tsx:75
projectDailyLogsTab.siteWideActivityLogs,Site-wide Activity Logs,,YES,,Project Daily Logs Tab,1,components/schedule/ProjectDailyLogsTab.tsx:78
projectDailyLogsTab.loadingLogs,Loading logs...,,YES,,Project Daily Logs Tab,1,components/schedule/ProjectDailyLogsTab.tsx:97
projectDailyLogsTab.tasksLoggedToday,Tasks Logged Today,,YES,,Project Daily Logs Tab,1,components/schedule/ProjectDailyLogsTab.tsx:113
projectDailyLogsTab.logAnother,Log Another,,YES,,Project Daily Logs Tab,1,components/schedule/ProjectDailyLogsTab.tsx:119
projectDailyLogsTab.siteWideRollup,Site-wide Rollup,,YES,,Project Daily Logs Tab,1,components/schedule/ProjectDailyLogsTab.tsx:244
