key,english,tamil,translate,note,screen,occurrences,first_seen
laborTrackingView.aggregatedFiscalOutput,Aggregated Fiscal Output,,YES,,Labor Tracking View,2,components/LaborTrackingView.tsx:825
laborTrackingView.deleteRaBill,Delete RA bill,,YES,"Translate, but keep RA as-is",Labor Tracking View,2,components/LaborTrackingView.tsx:777
laborTrackingView.noCertificationLogsArchived,No certification logs archived,,YES,,Labor Tracking View,2,components/LaborTrackingView.tsx:818
materialConsumptionView.noLabourLoggedYet,No labour logged yet,,YES,,Material Consumption View,2,components/MaterialConsumptionView.tsx:652
procurementView.pendingReview,Pending review,,YES,,Procurement View,2,components/ProcurementView.tsx:922
procurementView.discrepancy,Discrepancy,,YES,,Procurement View,2,components/ProcurementView.tsx:1357
procurementView.unlinked,Unlinked,,YES,,Procurement View,2,components/ProcurementView.tsx:1362
procurementView.outstandingStatementBalance,Outstanding Statement Balance,,YES,,Procurement View,2,components/ProcurementView.tsx:1767
procurementView.editLedgerEntry,Edit ledger entry,,YES,,Procurement View,2,components/ProcurementView.tsx:1687
wBSView.scheduling,Scheduling,,YES,,WBSView,2,components/WBSView.tsx:2070
wBSView.resourcesBudget,Resources & Budget,,YES,,WBSView,2,components/WBSView.tsx:2506
wBSView.documents,Documents,,YES,,WBSView,2,components/WBSView.tsx:2859
goodsReceiptDetails.recordedBy,Recorded By,,YES,,Goods Receipt Details; Goods Receipt Tab,2,components/purchase/GoodsReceiptDetails.tsx:188
goodsReceiptDetails.materialReceived,Material Received,,YES,,Goods Receipt Details; Goods Receipt Form,2,components/purchase/GoodsReceiptDetails.tsx:194
goodsReceiptDetails.ordered,Ordered,,YES,,Goods Receipt Details; Goods Receipt Form,2,components/purchase/GoodsReceiptDetails.tsx:200
goodsReceiptDetails.received,Received,,YES,,Goods Receipt Details; Goods Receipt Form,2,components/purchase/GoodsReceiptDetails.tsx:201
goodsReceiptDetails.accepted,Accepted,,YES,,Goods Receipt Details; Goods Receipt Form,2,components/purchase/GoodsReceiptDetails.tsx:202
goodsReceiptDetails.rejected,Rejected,,YES,,Goods Receipt Details; Goods Receipt Form,2,components/purchase/GoodsReceiptDetails.tsx:203
goodsReceiptTab.poNumber,PO Number,,YES,"Translate, but keep PO as-is",Goods Receipt Tab; Purchase Order Tab,2,components/purchase/GoodsReceiptTab.tsx:54
materialReceiptForm.totalAmount,Total Amount,,YES,,Material Receipt Form; Purchase Order Form,2,components/purchase/MaterialReceiptForm.tsx:526
scanInvoice.done,Done,,YES,,Scan Invoice; Vertical Timeline,2,components/purchase/ScanInvoice.tsx:301
mobileWBSView.dailyLogDerivedFields,Daily Log Derived Fields,,YES,,Mobile WBSView; Tablet WBSView,2,components/schedule/MobileWBSView.tsx:464
mobileWBSView.setAtOffice,Set at office,,YES,,Mobile WBSView; Tablet WBSView,2,components/schedule/MobileWBSView.tsx:497
mobileWBSView.planDates,Plan Dates,,YES,,Mobile WBSView; Tablet WBSView,2,components/schedule/MobileWBSView.tsx:523
mobileWBSView.resourceValue,Resource Value,,YES,,Mobile WBSView; Tablet WBSView,2,components/schedule/MobileWBSView.tsx:531
mobileWBSView.openFullForm,Open full form,,YES,,Mobile WBSView; Tablet WBSView,2,components/schedule/MobileWBSView.tsx:563
mobileWBSView.noWbsTasksYet,No WBS tasks yet,,YES,"Translate, but keep WBS as-is",Mobile WBSView; Tablet WBSView,2,components/schedule/MobileWBSView.tsx:251
landingPage.connecting,Connecting…,,YES,,Landing Page,2,pages/LandingPage.tsx:261
landingPage.signIn,Sign in,,YES,,Landing Page,2,pages/LandingPage.tsx:297
landingPage.continueToSitetru,Continue to Sitetru,,YES,,Landing Page,2,pages/LandingPage.tsx:714
app.somethingWentWrong,Something went wrong,,YES,,App,1,App.tsx:118
app.reloadApplication,Reload Application,,YES,,App,1,App.tsx:128
app.loadingSitetru,Loading Sitetru…,,YES,,App,1,App.tsx:203
addCapacityModal.decreaseQuantity,Decrease quantity,,YES,,Add Capacity Modal,1,components/AddCapacityModal.tsx:112
addCapacityModal.increaseQuantity,Increase quantity,,YES,,Add Capacity Modal,1,components/AddCapacityModal.tsx:123
clientPaymentsView.referenceChequeNo,Reference / Cheque No.,,YES,,Client Payments View,1,components/ClientPaymentsView.tsx:530
clientPaymentsView.method,Method,,YES,,Client Payments View,1,components/ClientPaymentsView.tsx:547
clientPaymentsView.bankTransfer,Bank Transfer,,YES,,Client Payments View,1,components/ClientPaymentsView.tsx:560
clientPaymentsView.cheque,Cheque,,YES,,Client Payments View,1,components/ClientPaymentsView.tsx:561
clientPaymentsView.cash,Cash,,YES,,Client Payments View,1,components/ClientPaymentsView.tsx:562
clientPaymentsView.savePayment,Save Payment,,YES,,Client Payments View,1,components/ClientPaymentsView.tsx:579
clientPaymentsView.noTransactionsRecordedYet,No transactions recorded yet,,YES,,Client Payments View,1,components/ClientPaymentsView.tsx:361
costManagement.over,Over,,YES,,Cost Management,1,components/CostManagement.tsx:897
costManagement.track,Track,,YES,,Cost Management,1,components/CostManagement.tsx:901
costManagement.laborDeploymentBreakdown,Labor Deployment Breakdown,,YES,,Cost Management,1,components/CostManagement.tsx:945
costManagement.contractor,Contractor,,YES,,Cost Management,1,components/CostManagement.tsx:958
costManagement.headcount,Headcount,,YES,,Cost Management,1,components/CostManagement.tsx:960
costManagement.rate,Rate,,YES,,Cost Management,1,components/CostManagement.tsx:962
costManagement.totalCost,Total Cost,,YES,,Cost Management,1,components/CostManagement.tsx:963
costManagement.directEntry,Direct Entry,,YES,,Cost Management,1,components/CostManagement.tsx:973
costManagement.dailyLog,Daily Log,,YES,,Cost Management,1,components/CostManagement.tsx:1021
costManagement.materialConsumptionBreakdown,Material Consumption Breakdown,,YES,,Cost Management,1,components/CostManagement.tsx:1046
costManagement.unitRate,Unit Rate,,YES,,Cost Management,1,components/CostManagement.tsx:1060
costManagement.subtotal,Subtotal,,YES,,Cost Management,1,components/CostManagement.tsx:1061
costManagement.addTransaction,Add Transaction,,YES,,Cost Management,1,components/CostManagement.tsx:1246
costManagement.actuals,Actuals,,YES,,Cost Management,1,components/CostManagement.tsx:1299
costManagement.fromLoggedEquipmentUsage,From logged equipment usage,,YES,,Cost Management,1,components/CostManagement.tsx:1327
costManagement.costByCategory,Cost by Category,,YES,,Cost Management,1,components/CostManagement.tsx:1408
costManagement.plannedVsActualSpending,Planned vs Actual spending,,YES,,Cost Management,1,components/CostManagement.tsx:1411
costManagement.latestTransactions,Latest Transactions,,YES,,Cost Management,1,components/CostManagement.tsx:1507
costManagement.recentFlow,Recent Flow,,YES,,Cost Management,1,components/CostManagement.tsx:1550
costManagement.viewAll,View All,,YES,,Cost Management,1,components/CostManagement.tsx:1561
costManagement.allActivityCodes,All Activity Codes,,YES,,Cost Management,1,components/CostManagement.tsx:1590
costManagement.plannedBudget,Planned (Budget),,YES,,Cost Management,1,components/CostManagement.tsx:1604
costManagement.actualSpent,Actual (Spent),,YES,,Cost Management,1,components/CostManagement.tsx:1610
costManagement.wbsTaskHierarchy,WBS Task Hierarchy,,YES,"Translate, but keep WBS as-is",Cost Management,1,components/CostManagement.tsx:1625
costManagement.materialCosts,Material Costs,,YES,,Cost Management,1,components/CostManagement.tsx:1631
costManagement.laborCosts,Labor Costs,,YES,,Cost Management,1,components/CostManagement.tsx:1637
costManagement.directCosts,Direct Costs,,YES,,Cost Management,1,components/CostManagement.tsx:1643
costManagement.actualSpent2,Actual Spent,,YES,,Cost Management,1,components/CostManagement.tsx:1649
costManagement.summaries,Summaries,,YES,,Cost Management,1,components/CostManagement.tsx:1678
costManagement.directCostEntries,Direct Cost Entries,,YES,,Cost Management,1,components/CostManagement.tsx:1746
costManagement.addDirectCost,Add Direct Cost,,YES,,Cost Management,1,components/CostManagement.tsx:1761
costManagement.enterpriseConstructionManagement,Enterprise Construction Management,,YES,,Cost Management,1,components/CostManagement.tsx:1866
costManagement.actualsOnly,Actuals only,,YES,,Cost Management,1,components/CostManagement.tsx:1938
costManagement.taskDescription,Task Description,,YES,,Cost Management,1,components/CostManagement.tsx:1973
costManagement.materialPA,Material (P/A),,YES,,Cost Management,1,components/CostManagement.tsx:1976
costManagement.laborPA,Labor (P/A),,YES,,Cost Management,1,components/CostManagement.tsx:1979
costManagement.equipmentActual,Equipment (Actual),,YES,,Cost Management,1,components/CostManagement.tsx:1982
costManagement.directCostPA,Direct Cost (P/A),,YES,,Cost Management,1,components/CostManagement.tsx:1985
costManagement.actualTotal,Actual Total,,YES,,Cost Management,1,components/CostManagement.tsx:1991
costManagement.projectTotals,Project Totals,,YES,,Cost Management,1,components/CostManagement.tsx:2051
costManagement.executiveSummary,Executive Summary,,YES,,Cost Management,1,components/CostManagement.tsx:2133
costManagement.directCostLedger,Direct Cost Ledger,,YES,,Cost Management,1,components/CostManagement.tsx:2186
costManagement.actualSpend,Actual Spend,,YES,,Cost Management,1,components/CostManagement.tsx:2280
costManagement.plannedBudget2,Planned Budget,,YES,,Cost Management,1,components/CostManagement.tsx:2281
costManagement.subcontractor,Subcontractor,,YES,,Cost Management,1,components/CostManagement.tsx:2308
costManagement.transport,Transport,,YES,,Cost Management,1,components/CostManagement.tsx:2309
costManagement.materialLegacy,Material (Legacy),,YES,,Cost Management,1,components/CostManagement.tsx:2312
costManagement.saveTransaction,Save Transaction,,YES,,Cost Management,1,components/CostManagement.tsx:2336
costManagement.deleteEntry,Delete Entry?,,YES,,Cost Management,1,components/CostManagement.tsx:2360
costManagement.saveTaskCosts,Save task costs,,YES,,Cost Management,1,components/CostManagement.tsx:911
costManagement.cancelEditing,Cancel editing,,YES,,Cost Management,1,components/CostManagement.tsx:918
costManagement.searchWbsTasks,Search WBS tasks...,,YES,"Translate, but keep WBS as-is",Cost Management,1,components/CostManagement.tsx:1577
costManagement.noDirectCostsRecorded,No direct costs recorded yet,,YES,,Cost Management,1,components/CostManagement.tsx:1781
dailyLogEntryScreen.removeMaterialRow,Remove material row,,YES,,Daily Log Entry Screen,1,components/DailyLogEntryScreen.tsx:601
dailyLogEntryScreen.removeLabourRow,Remove labour row,,YES,,Daily Log Entry Screen,1,components/DailyLogEntryScreen.tsx:655
dailyLogEntryScreen.removeEquipmentRow,Remove equipment row,,YES,,Daily Log Entry Screen,1,components/DailyLogEntryScreen.tsx:719
documentVault.selectedAssets,Selected Assets,,YES,,Document Vault,1,components/DocumentVault.tsx:374
documentVault.bulkActionsAvailable,Bulk actions available,,YES,,Document Vault,1,components/DocumentVault.tsx:377
documentVault.downloadSet,Download Set,,YES,,Document Vault,1,components/DocumentVault.tsx:390
documentVault.deselectAll,Deselect All,,YES,,Document Vault,1,components/DocumentVault.tsx:423
documentVault.allCategories,All Categories,,YES,,Document Vault,1,components/DocumentVault.tsx:462
documentVault.uploadNewDocument,Upload New Document,,YES,,Document Vault,1,components/DocumentVault.tsx:491
documentVault.selectAFileFrom,Select a file from your device or provide an external link.,,YES,,Document Vault,1,components/DocumentVault.tsx:494
documentVault.chooseAFileFrom,Choose a file from device,,YES,,Document Vault,1,components/DocumentVault.tsx:533
documentVault.dragAndDropOr,Drag and drop or click to browse,,YES,,Document Vault,1,components/DocumentVault.tsx:536
documentVault.categoryOrganisation,Category & Organisation,,YES,,Document Vault,1,components/DocumentVault.tsx:545
documentVault.relatedWbsTask,Related WBS Task,,YES,"Translate, but keep WBS as-is",Document Vault,1,components/DocumentVault.tsx:581
documentVault.noLink,No Link,,YES,,Document Vault,1,components/DocumentVault.tsx:591
documentVault.documentType,Document Type,,YES,,Document Vault,1,components/DocumentVault.tsx:601
documentVault.image,Image,,YES,,Document Vault,1,components/DocumentVault.tsx:613
documentVault.public,Public,,YES,,Document Vault,1,components/DocumentVault.tsx:627
documentVault.internal,Internal,,YES,,Document Vault,1,components/DocumentVault.tsx:628
